x,y,uT_target,uT_pinn
0.409090936184,0.113636367023,3.30005245353e-10,-0.000130097847432
0.431818187237,0.113636367023,3.36077055074e-10,-0.000161017756909
0.454545468092,0.113636367023,3.40436318025e-10,-0.000192593317479
0.477272748947,0.113636367023,3.43060801988e-10,-0.000224213581532
0.5,0.113636367023,3.43937101022e-10,-0.000255729537457
0.522727251053,0.113636367023,3.43060774233e-10,-0.000286381226033
0.545454502106,0.113636367023,3.40436318025e-10,-0.00031579611823
0.568181812763,0.113636367023,3.36077055074e-10,-0.000343393068761
0.590909063816,0.113636367023,3.30005245353e-10,-0.000368650536984
0.613636374474,0.113636367023,3.22251780815e-10,-0.000390465836972
0.636363625526,0.113636367023,3.12856185403e-10,-0.000408630352467
0.659090876579,0.113636367023,3.01866392993e-10,-0.000422086101025
0.681818187237,0.113636367023,2.89338331072e-10,-0.000430862884969
0.70454543829,0.113636367023,2.75335837463e-10,-0.000433440785855
0.727272748947,0.113636367023,2.59930271751e-10,-0.000429521780461
0.75,0.113636367023,2.43200265482e-10,-0.0004185247235
0.772727251053,0.113636367023,2.25230889495e-10,-0.000399957876652
0.795454502106,0.113636367023,2.06113834333e-10,-0.000373165588826
0.818181812763,0.113636367023,1.85946411047e-10,-0.000337879639119
0.840909123421,0.113636367023,1.64831467919e-10,-0.000293652992696
0.863636374474,0.113636367023,1.42876641074e-10,-0.000240470748395
0.886363625526,0.113636367023,1.20193674458e-10,-0.000177870970219
0.909090876579,0.113636367023,9.68983018823e-11,-0.000105957966298
0.931818187237,0.113636367023,7.310907435e-11,-2.47764401138e-05
0.95454543829,0.113636367023,4.89473080123e-11,6.56438060105e-05
0.977272748947,0.113636367023,2.45361127249e-11,0.000165183562785
1,0.113636367023,-3.0067935857e-17,0.000273634213954
0,0.136363640428,0,9.38368029892e-05
0.0227272734046,0.136363640428,2.9166662141e-11,0.00010258378461
0.0454545468092,0.136363640428,5.81846966441e-11,0.000109751243144
0.0681818202138,0.136363640428,8.69062391495e-11,0.000114847440273
0.0909090936184,0.136363640428,1.15184924099e-10,0.000117619056255
0.113636367023,0.136363640428,1.42876641074e-10,0.000118125695735
0.136363640428,0.136363640428,1.69840308484e-10,0.000116084236652
0.159090906382,0.136363640428,1.95938501535e-10,0.000111345667392
0.181818187237,0.136363640428,2.21038229387e-10,0.000104058999568
0.204545468092,0.136363640428,2.45011622102e-10,9.39262099564e-05
0.227272734046,0.136363640428,2.67736471882e-10,8.12453217804e-05
0.25,0.136363640428,2.89096996342e-10,6.59716315567e-05
0.272727280855,0.136363640428,3.08984365871e-10,4.81200404465e-05
0.29545456171,0.136363640428,3.27297217106e-10,2.78246589005e-05
0.318181812763,0.136363640428,3.43942180292e-10,5.17489388585e-06
0.340909093618,0.136363640428,3.58834545411e-10,-1.93822197616e-05
0.363636374474,0.136363640428,3.71898373208e-10,-4.60552982986e-05
0.386363655329,0.136363640428,3.83067078058e-10,-7.44271092117e-05
0.409090936184,0.136363640428,3.92283816542e-10,-0.000104289036244
0.431818187237,0.136363640428,3.99501487447e-10,-0.000135134439915
0.454545468092,0.136363640428,4.04683425659e-10,-0.000166665297002
0.477272748947,0.136363640428,4.07803180114e-10,-0.000198583584279
0.5,0.136363640428,4.08844874622e-10,-0.000230233650655
0.522727251053,0.136363640428,4.07803180114e-10,-0.000261168461293
0.545454502106,0.136363640428,4.04683425659e-10,-0.000290851574391
0.568181812763,0.136363640428,3.99501487447e-10,-0.000318716745824
0.590909063816,0.136363640428,3.92283788786e-10,-0.000343959312886
0.613636374474,0.136363640428,3.83067078058e-10,-0.000366325955838
0.636363625526,0.136363640428,3.71898373208e-10,-0.000384758692235
0.659090876579,0.136363640428,3.58834573166e-10,-0.000398661475629
0.681818187237,0.136363640428,3.43942208048e-10,-0.00040728924796
0.70454543829,0.136363640428,3.27297189351e-10,-0.000410314183682
0.727272748947,0.136363640428,3.0898431036e-10,-0.000406782608479
0.75,0.136363640428,2.89096996342e-10,-0.000396113377064
0.772727251053,0.136363640428,2.67736416371e-10,-0.000378261785954
0.795454502106,0.136363640428,2.45011594346e-10,-0.000352378468961
0.818181812763,0.136363640428,2.21038215509e-10,-0.000318001490086
0.840909123421,0.136363640428,1.95938432146e-10,-0.000275443773717
0.863636374474,0.136363640428,1.69840294606e-10,-0.000223975162953
0.886363625526,0.136363640428,1.4287659944e-10,-0.000163714867085
0.909090876579,0.136363640428,1.15184937977e-10,-9.46926884353e-05
0.931818187237,0.136363640428,8.69062044551e-11,-1.68043188751e-05
0.95454543829,0.136363640428,5.8184634194e-11,6.96969218552e-05
0.977272748947,0.136363640428,2.91665649965e-11,0.00016461731866
1,0.136363640428,-3.57423551544e-17,0.000268031377345
0,0.159090906382,0,9.94992442429e-05
0.0227272734046,0.159090906382,3.36485006525e-11,0.000110347289592
0.0454545468092,0.159090906382,6.71255412366e-11,0.000119362492114
0.0681818202138,0.159090906382,1.00260508229e-10,0.000126574654132
0.0909090936184,0.159090906382,1.32884592219e-10,0.000131000299007
0.113636367023,0.159090906382,1.6483152343e-10,0.000133086461574
0.136363640428,0.159090906382,1.95938501535e-10,0.000132982153445
0.159090906382,0.159090906382,2.26047000562e-10,0.000129852909595
0.181818187237,0.159090906382,2.55003629324e-10,0.000123937148601
