x,y,uT_target,uT_rollout
0.966666666667,0.166666666667,5.143759186e-11,-8.83595924486e-05
1,0.166666666667,6.026385566e-26,0
0,0.2,0,0
0.0333333333333,0.2,6.04685158175e-11,2.56130065788e-05
0.0666666666667,0.2,1.20274525922e-10,4.71880228104e-05
0.1,0.2,1.78762783151e-10,6.41346175797e-05
0.133333333333,0.2,2.3529247792e-10,7.60317972109e-05
0.166666666667,0.2,2.89244259062e-10,8.26438269628e-05
0.2,0.2,3.40027019574e-10,8.39012030865e-05
0.233333333333,0.2,3.87084372904e-10,7.98580138422e-05
0.266666666667,0.2,4.29900748842e-10,7.0648584484e-05
0.3,0.2,4.68007042213e-10,5.64588195102e-05
0.333333333333,0.2,5.00985752493e-10,3.75221605123e-05
0.366666666667,0.2,5.28475558031e-10,1.41408034898e-05
0.4,0.2,5.50175274764e-10,-1.327487029e-05
0.433333333333,0.2,5.65847156055e-10,-4.41601438933e-05
0.466666666667,0.2,5.75319497493e-10,-7.77551148421e-05
0.5,0.2,5.78488518124e-10,-0.000113078756405
0.533333333333,0.2,5.75319497493e-10,-0.000148932038268
0.566666666667,0.2,5.65847156055e-10,-0.000183939529124
0.6,0.2,5.50175274764e-10,-0.00021663474031
0.633333333333,0.2,5.28475558031e-10,-0.000245570475672
0.666666666667,0.2,5.00985752493e-10,-0.000269421912339
0.7,0.2,4.68007042213e-10,-0.000287047210515
0.733333333333,0.2,4.29900748842e-10,-0.000297485504298
0.766666666667,0.2,3.87084372904e-10,-0.000299898163855
0.8,0.2,3.40027019574e-10,-0.000293471704403
0.833333333333,0.2,2.89244259062e-10,-0.000277302681291
0.866666666667,0.2,2.3529247792e-10,-0.000250283492783
0.9,0.2,1.78762783151e-10,-0.000211004678606
0.933333333333,0.2,1.20274525922e-10,-0.000157688148506
0.966666666667,0.2,6.04685158175e-11,-8.81761129198e-05
1,0.2,7.08444112064e-26,0
0,0.233333333333,0,0
0.0333333333333,0.233333333333,6.88369340618e-11,3.32661720235e-05
0.0666666666667,0.233333333333,1.36919676269e-10,6.08753392633e-05
0.1,0.233333333333,2.03502297851e-10,8.23732262137e-05
0.133333333333,0.233333333333,2.67855305672e-10,9.74296239097e-05
0.166666666667,0.233333333333,3.29273634711e-10,0.000105882020047
0.2,0.233333333333,3.87084372904e-10,0.000107746243572
0.233333333333,0.233333333333,4.40654133705e-10,0.000103195599361
0.266666666667,0.233333333333,4.89395995603e-10,9.25213033629e-05
0.3,0.233333333333,5.32775932562e-10,7.60917094968e-05
0.333333333333,0.233333333333,5.70318664913e-10,5.43286637985e-05
0.366666666667,0.233333333333,6.01612866624e-10,2.77143192176e-05
0.4,0.233333333333,6.26315671873e-10,-3.17208420952e-06
0.433333333333,0.233333333333,6.44156431555e-10,-3.76009028296e-05
0.466666666667,0.233333333333,6.54939678576e-10,-7.46397773738e-05
0.5,0.233333333333,6.58547269422e-10,-0.000113124730114
0.533333333333,0.233333333333,6.54939678576e-10,-0.000151673162928
0.566666666667,0.233333333333,6.44156431555e-10,-0.000188749570684
0.6,0.233333333333,6.26315671873e-10,-0.000222778054229
0.633333333333,0.233333333333,6.01612866624e-10,-0.000252272778129
0.666666666667,0.233333333333,5.70318664913e-10,-0.00027594436505
0.7,0.233333333333,5.32775932562e-10,-0.000292749206743
0.733333333333,0.233333333333,4.89395995603e-10,-0.000301870124757
0.766666666667,0.233333333333,4.40654133705e-10,-0.000302640718533
0.8,0.233333333333,3.87084372904e-10,-0.000294434452906
0.833333333333,0.233333333333,3.29273634711e-10,-0.000276542940328
0.866666666667,0.233333333333,2.67855305672e-10,-0.000248063233705
0.9,0.233333333333,2.03502297851e-10,-0.000207814576006
0.933333333333,0.233333333333,1.36919676269e-10,-0.000154296159143
0.966666666667,0.233333333333,6.88369340618e-11,-8.57014049225e-05
1,0.233333333333,8.06487805585e-26,0
0,0.266666666667,0,0
0.0333333333333,0.266666666667,7.64511604515e-11,3.9969162092e-05
0.0666666666667,0.266666666667,1.52064705991e-10,7.28726464573e-05
0.1,0.266666666667,2.2601219879e-10,9.8352882717e-05
0.133333333333,0.266666666667,2.97483454642e-10,0.000116136220255
0.166666666667,0.266666666667,3.65695419514e-10,0.00012610199
0.2,0.266666666667,4.29900748842e-10,0.000128323388435
0.233333333333,0.266666666667,4.89395995603e-10,0.000123072315732
0.266666666667,0.266666666667,5.43529317425e-10,0.000110790261859
0.3,0.266666666667,5.91707618303e-10,9.20397648693e-05
0.333333333333,0.266666666667,6.33403046693e-10,6.74591318188e-05
0.366666666667,0.266666666667,6.68158778755e-10,3.774583509e-05
0.4,0.266666666667,6.95594023415e-10,3.68096976853e-06
0.433333333333,0.266666666667,7.15408194393e-10,-3.38162983308e-05
0.466666666667,0.266666666667,7.27384203484e-10,-7.3627857801e-05
0.5,0.266666666667,7.31390839027e-10,-0.000114406449552
