epoch,loss_total,loss_pde,loss_bc
45,0.0532775625587,0.0157348208129,0.0375427417457
46,0.0462626074441,0.0139817674644,0.0322808399796
47,0.0400884736329,0.0118036985397,0.0282847750932
48,0.0358161989599,0.0106098789722,0.0252063199878
49,0.031924530305,0.00914294030517,0.0227815899998
50,0.0292702328414,0.00830196514726,0.0209682676941
51,0.0261358812451,0.0072716537863,0.0188642274588
52,0.0247614200693,0.00659891809337,0.0181625019759
53,0.0227171411272,0.00586626171134,0.0168508794159
54,0.0218582523055,0.00568952569738,0.0161687266082
55,0.0204556205776,0.00536856832914,0.0150870522484
56,0.0199568688404,0.00561733799987,0.0143395308405
57,0.0188753955066,0.00495753679425,0.0139178587124
58,0.0180328734219,0.00461572259665,0.0134171508253
59,0.0170140769333,0.00437302328646,0.0126410536468
60,0.015762841003,0.00395858162083,0.0118042593822
61,0.0175378460437,0.00546945054084,0.0120683955029
62,0.0161216770066,0.00490955903661,0.01121211797
63,0.0144514987944,0.00385737109464,0.0105941276997
64,0.0140519937035,0.00400527133606,0.0100467223674
65,0.0146859772969,0.00497509823181,0.0097108790651
66,0.013454019255,0.00416446959134,0.00928954966366
67,0.0118228798267,0.00311945057474,0.00870342925191
68,0.0117243087618,0.00345055635553,0.00827375240624
69,0.0122232626891,0.00417045259383,0.00805281009525
70,0.0127385291969,0.00458229014184,0.0081562390551
71,0.0111105741933,0.00368550950661,0.00742506468669
72,0.00979053017218,0.00266433435027,0.00712619582191
73,0.00902272667736,0.00227649509907,0.00674623157829
74,0.0100437161746,0.00312130211387,0.00692241406068
75,0.012895315222,0.00644080833299,0.00645450688899
76,0.00829854409676,0.00214248138946,0.0061560627073
77,0.00738870482892,0.00189811773598,0.00549058709294
78,0.00701716215117,0.00185136356158,0.00516579858959
79,0.00684951068833,0.00187863558531,0.00497087510303
80,0.0245636168402,0.017858612584,0.00670500425622
81,0.0134480885579,0.00633020804962,0.0071178805083
82,0.00998127713101,0.00429697633954,0.00568430079147
83,0.00808827116853,0.00287561680889,0.00521265435964
84,0.00688264146447,0.00220469664782,0.00467794481665
85,0.00606716137845,0.00182243615855,0.00424472521991
86,0.00608427677071,0.00170421454823,0.00438006222248
87,0.00566456662491,0.00175994271412,0.00390462391078
88,0.00486694329302,0.00116700452636,0.00369993876666
89,0.00460769938654,0.0011146255245,0.00349307386205
90,0.00450569408713,0.00121476751519,0.00329092657194
91,0.00568956428906,0.00212314411765,0.00356642017141
92,0.00494073950686,0.00184925287031,0.00309148663655
93,0.00521133297589,0.00199929664377,0.00321203633212
94,0.00413924701279,0.00133517490467,0.00280407210812
95,0.00622455230914,0.0034567840863,0.00276776822284
96,0.00368900506292,0.00102079056669,0.00266821449623
97,0.00529217569856,0.00204428693978,0.00324788875878
98,0.0169783811492,0.0136586999928,0.00331968115643
99,0.00640747754369,0.00301781960297,0.00338965794072
100,0.00397707662196,0.00127832498983,0.00269875163212
101,0.00319645699346,0.000772260886151,0.00242419610731
102,0.0030346814543,0.000821835035458,0.00221284641884
103,0.00288521383191,0.000749072537292,0.00213614129461
104,0.00270584672689,0.00062540830113,0.00208043842576
105,0.00284370650188,0.000896489579463,0.00194721692242
106,0.00382970604114,0.00193833925296,0.00189136678819
107,0.00660677878768,0.0040414363204,0.00256534246728
108,0.0051085010462,0.00305612290394,0.00205237814225
109,0.00315176603035,0.00128978805733,0.00186197797302
110,0.00321561341698,0.00122220941412,0.00199340400286
111,0.0051011690055,0.00337610685965,0.00172506214585
112,0.00226682720822,0.000650755531387,0.00161607167684
113,0.00228120556567,0.000707253650762,0.00157395191491
114,0.0136508671218,0.00833154279971,0.00531932432204
115,0.0174840336316,0.0142966903863,0.00318734324537
116,0.00662108495599,0.00381131501636,0.00280976993963
117,0.00300754506607,0.00104810523335,0.00195943983272
118,0.00250093599316,0.000834445888177,0.00166649010498
119,0.00231468453712,0.00079120658047,0.00152347795665
120,0.00196356456436,0.000509727883036,0.00145383668132
121,0.00186746838735,0.000454568571877,0.00141289981548
122,0.00174288275884,0.000411998818163,0.00133088394068
123,0.0017126292194,0.000445391863468,0.00126723735593
124,0.00166133149469,0.000465202363557,0.00119612913113
125,0.00162894250243,0.000463119422784,0.00116582307965
