iter,J,grad_norm,step
95,0.0201094368224,0.26416335962,0.01
96,0.0194404852434,0.259732428213,0.01
97,0.0187937867101,0.255375818821,0.01
98,0.0181686009624,0.251092284807,0.01
99,0.0175642123657,0.246880600444,0.01
100,0.0169799290912,0.242739560567,0.01
101,0.0164150823241,0.238667980223,0.01
102,0.0158690254984,0.234664694336,0.01
103,0.015341133556,0.230728557373,0.01
104,0.0148308022321,0.226858443013,0.01
105,0.0143374473631,0.22305324383,0.01
106,0.0138605042176,0.219311870973,0.01
107,0.0133994268506,0.215633253854,0.01
108,0.0129536874782,0.212016339842,0.01
109,0.0125227758734,0.208460093963,0.01
110,0.0121061987824,0.204963498603,0.01
111,0.0117034793595,0.201525553218,0.01
112,0.0113141566219,0.198145274044,0.01
113,0.0109377849212,0.19482169382,0.01
114,0.010573933434,0.191553861509,0.01
115,0.0102221856686,0.188340842026,0.01
116,0.0098821389878,0.185181715971,0.01
117,0.00955340414863,0.182075579365,0.01
118,0.00923560485638,0.179021543392,0.01
119,0.00892837733399,0.176018734144,0.01
120,0.00863136990569,0.173066292373,0.01
121,0.00834424259437,0.170163373242,0.01
122,0.00806666673244,0.167309146086,0.01
123,0.00779832458565,0.164502794171,0.01
124,0.00753890898933,0.161743514465,0.01
125,0.00728812299683,0.159030517405,0.01
126,0.00704567953958,0.15636302667,0.01
127,0.00681130109853,0.153740278963,0.01
128,0.00658471938642,0.151161523788,0.01
129,0.00636567504075,0.148626023239,0.01
130,0.00615391732682,0.146133051787,0.01
131,0.00594920385081,0.143681896071,0.01
132,0.00575130028221,0.141271854698,0.01
133,0.00555998008568,0.138902238039,0.01
134,0.0053750242617,0.13657236803,0.01
135,0.00519622109587,0.134281577983,0.01
136,0.00502336591661,0.132029212394,0.01
137,0.00485626086084,0.12981462675,0.01
138,0.00469471464751,0.127637187352,0.01
139,0.00453854235865,0.125496271129,0.01
140,0.00438756522767,0.123391265461,0.01
141,0.00424161043477,0.121321568005,0.01
142,0.00410051090907,0.119286586519,0.01
143,0.00396410513742,0.117285738697,0.01
144,0.00383223697948,0.115318452,0.01
145,0.00370475548902,0.113384163492,0.01
146,0.00358151474111,0.11148231968,0.01
147,0.00346237366509,0.109612376352,0.01
148,0.0033471958831,0.10777379843,0.01
149,0.00323584955396,0.105966059805,0.01
150,0.00312820722228,0.104188643198,0.01
151,0.00302414567251,0.102441040002,0.01
152,0.00292354578796,0.100722750145,0.01
153,0.00282629241442,0.0990332819401,0.01
154,0.00273227422833,0.0973721519488,0.01
