x,y,u
0,0.179487179487,0.000899651659202
0.025,0.179487179487,0.051657935685
0.05,0.179487179487,0.101144229891
0.075,0.179487179487,0.148140017479
0.1,0.179487179487,0.191488106188
0.125,0.179487179487,0.23012112221
0.15,0.179487179487,0.263087792476
0.175,0.179487179487,0.289576368152
0.2,0.179487179487,0.308934612595
0.225,0.179487179487,0.320685861581
0.25,0.179487179487,0.324540760359
0.275,0.179487179487,0.320404388529
0.3,0.179487179487,0.308378597291
0.325,0.179487179487,0.288759501539
0.35,0.179487179487,0.262030188521
0.375,0.179487179487,0.228848822633
0.4,0.179487179487,0.190032439226
0.425,0.179487179487,0.146536826484
0.45,0.179487179487,0.0994329907455
0.475,0.179487179487,0.0498807847762
0.5,0.179487179487,-0.000899651659202
0.525,0.179487179487,-0.051657935685
0.55,0.179487179487,-0.101144229891
0.575,0.179487179487,-0.148140017479
0.6,0.179487179487,-0.191488106188
0.625,0.179487179487,-0.23012112221
0.65,0.179487179487,-0.263087792476
0.675,0.179487179487,-0.289576368152
0.7,0.179487179487,-0.308934612595
0.725,0.179487179487,-0.320685861581
0.75,0.179487179487,-0.324540760359
0.775,0.179487179487,-0.320404388529
0.8,0.179487179487,-0.308378597291
0.825,0.179487179487,-0.288759501539
0.85,0.179487179487,-0.262030188521
0.875,0.179487179487,-0.228848822633
0.9,0.179487179487,-0.190032439226
0.925,0.179487179487,-0.146536826484
0.95,0.179487179487,-0.0994329907455
0.975,0.179487179487,-0.0498807847762
0,0.205128205128,0.00109076175608
0.025,0.205128205128,0.0443075443913
0.05,0.205128205128,0.0864333282354
0.075,0.205128205128,0.126430836682
0.1,0.205128205128,0.163315198331
0.125,0.205128205128,0.196178197784
0.15,0.205128205128,0.224210638929
0.175,0.205128205128,0.246722270032
0.2,0.205128205128,0.263158780022
0.225,0.205128205128,0.273115447474
0.25,0.205128205128,0.276347106192
0.275,0.205128205128,0.272774182011
0.3,0.205128205128,0.262484652183
0.325,0.205128205128,0.245731879082
0.35,0.205128205128,0.222928371581
0.375,0.205128205128,0.194635627715
0.4,0.205128205128,0.161550308736
0.425,0.205128205128,0.124487085
0.45,0.205128205128,0.0843585760837
0.475,0.205128205128,0.0421528790536
0.5,0.205128205128,-0.00109076175609
0.525,0.205128205128,-0.0443075443913
0.55,0.205128205128,-0.0864333282354
0.575,0.205128205128,-0.126430836682
0.6,0.205128205128,-0.163315198331
0.625,0.205128205128,-0.196178197784
0.65,0.205128205128,-0.224210638929
0.675,0.205128205128,-0.246722270032
0.7,0.205128205128,-0.263158780022
0.725,0.205128205128,-0.273115447474
0.75,0.205128205128,-0.276347106192
0.775,0.205128205128,-0.272774182011
0.8,0.205128205128,-0.262484652183
0.825,0.205128205128,-0.245731879082
0.85,0.205128205128,-0.222928371581
0.875,0.205128205128,-0.194635627715
0.9,0.205128205128,-0.161550308736
0.925,0.205128205128,-0.124487085
0.95,0.205128205128,-0.0843585760837
0.975,0.205128205128,-0.0421528790536
0,0.230769230769,0.00131012502795
0.025,0.230769230769,0.0381048178354
0.05,0.230769230769,0.073961243565
0.075,0.230769230769,0.107996498015
0.1,0.230769230769,0.139372520264
0.125,0.230769230769,0.167316728513
0.15,0.230769230769,0.191141043613
0.175,0.230769230769,0.21025883186
0.2,0.230769230769,0.224199349856
0.225,0.230769230769,0.232619335785
0.25,0.230769230769,0.235311461647
0.275,0.230769230769,0.232209438369
0.3,0.230769230769,0.22338964806
0.325,0.230769230769,0.209069263227
0.35,0.230769230769,0.189600899273
0.375,0.230769230769,0.16546393193
0.4,0.230769230769,0.137252693439
0.425,0.230769230769,0.10566183812
0.45,0.230769230769,0.0714692376751
0.475,0.230769230769,0.0355168274057
0.5,0.230769230769,-0.00131012502795
0.525,0.230769230769,-0.0381048178354
0.55,0.230769230769,-0.073961243565
0.575,0.230769230769,-0.107996498015
0.6,0.230769230769,-0.139372520264
0.625,0.230769230769,-0.167316728513
0.65,0.230769230769,-0.191141043613
0.675,0.230769230769,-0.21025883186
0.7,0.230769230769,-0.224199349856
0.725,0.230769230769,-0.232619335785
0.75,0.230769230769,-0.235311461647
0.775,0.230769230769,-0.232209438369
0.8,0.230769230769,-0.22338964806
0.825,0.230769230769,-0.209069263227
0.85,0.230769230769,-0.189600899273
0.875,0.230769230769,-0.16546393193
0.9,0.230769230769,-0.137252693439
0.925,0.230769230769,-0.10566183812
0.95,0.230769230769,-0.0714692376751
0.975,0.230769230769,-0.0355168274057
0,0.25641025641,0.00156342347535
0.025,0.25641025641,0.0328890914927
0.05,0.25641025641,0.0634049209248
0.075,0.25641025641,0.0923595107749
0.1,0.25641025641,0.119039902946
0.125,0.25641025641,0.142789137636
0.15,0.25641025641,0.163022429867
0.175,0.25641025641,0.179241568835
0.2,0.25641025641,0.191047185509
0.225,0.25641025641,0.198148586427
0.25,0.25641025641,0.200370911529
0.275,0.25641025641,0.197659439797
0.3,0.25641025641,0.190080936662
0.325,0.25641025641,0.177822010025
0.35,0.25641025641,0.161184515343
0.375,0.25641025641,0.140578122953
0.4,0.25641025641,0.116510230624
0.425,0.25641025641,0.0895734697417
0.45,0.25641025641,0.0604311127569
0.475,0.25641025641,0.0298007412166
0.5,0.25641025641,-0.00156342347535
0.525,0.25641025641,-0.0328890914927
0.55,0.25641025641,-0.0634049209248
0.575,0.25641025641,-0.0923595107749
0.6,0.25641025641,-0.119039902946
0.625,0.25641025641,-0.142789137636
0.65,0.25641025641,-0.163022429867
0.675,0.25641025641,-0.179241568835
0.7,0.25641025641,-0.191047185509
0.725,0.25641025641,-0.198148586427
0.75,0.25641025641,-0.200370911529
0.775,0.25641025641,-0.197659439797
0.8,0.25641025641,-0.190080936662
0.825,0.25641025641,-0.177822010025
0.85,0.25641025641,-0.161184515343
0.875,0.25641025641,-0.140578122953
0.9,0.25641025641,-0.116510230624
0.925,0.25641025641,-0.0895734697417
0.95,0.25641025641,-0.0604311127569
0.975,0.25641025641,-0.0298007412166
0,0.282051282051,0.00185721809597
0.025,0.282051282051,0.0285252663573
0.05,0.282051282051,0.0544909278909
0.075,0.282051282051,0.0791148419349
0.1,0.282051282051,0.101790686003
0.125,0.282051282051,0.121960105558
0.15,0.282051282051,0.139126462552
0.175,0.282051282051,0.152867064304
0.2,0.282051282051,0.162843571596
0.225,0.282051282051,0.168810329708
0.25,0.282051282051,0.170620417253
0.275,0.282051282051,0.168229263869
0.3,0.282051282051,0.161695747688
0.325,0.282051282051,0.151180745561
0.35,0.282051282051,0.136943171738
0.375,0.282051282051,0.119333602539
0.4,0.282051282051,0.0987856439995
0.425,0.282051282051,0.0758052550542
0.45,0.282051282051,0.0509582891462
0.475,0.282051282051,0.0248565610386
0.5,0.282051282051,-0.00185721809597
0.525,0.282051282051,-0.0285252663573
0.55,0.282051282051,-0.0544909278909
0.575,0.282051282051,-0.0791148419349
0.6,0.282051282051,-0.101790686003
0.625,0.282051282051,-0.121960105558
0.65,0.282051282051,-0.139126462552
0.675,0.282051282051,-0.152867064304
0.7,0.282051282051,-0.162843571596
0.725,0.282051282051,-0.168810329708
0.75,0.282051282051,-0.170620417253
0.775,0.282051282051,-0.168229263869
0.8,0.282051282051,-0.161695747688
0.825,0.282051282051,-0.151180745561
0.85,0.282051282051,-0.136943171738
0.875,0.282051282051,-0.119333602539
0.9,0.282051282051,-0.0987856439995
0.925,0.282051282051,-0.0758052550542
0.95,0.282051282051,-0.0509582891462
0.975,0.282051282051,-0.0248565610386
0,0.307692307692,0.00219911882917
0.025,0.307692307692,0.0249003095744
0.05,0.307692307692,0.0469883720586
0.075,0.307692307692,0.0679194248772
0.1,0.307692307692,0.0871780760437
0.125,0.307692307692,0.104290113651
0.15,0.307692307692,0.11883418254
0.175,0.307692307692,0.130452159468
0.2,0.307692307692,0.138857971283
0.225,0.307692307692,0.143844639003
0.25,0.307692307692,0.145289374317
0.275,0.307692307692,0.143156603047
0.3,0.307692307692,0.137498841102
0.325,0.307692307692,0.128455401355
0.35,0.307692307692,0.116248963309
0.375,0.307692307692,0.101180089977
0.4,0.307692307692,0.0836198270328
