x,y,t,u_true,u_pinn,abs_error
0.681818187237,0.159090906382,0.235294118524,0.00306345848367,0.019151378423,0.0160879194736
0.681818187237,0.159090906382,0.264705896378,0.00166457053274,0.015630889684,0.0139663191512
0.681818187237,0.159090906382,0.29411765933,0.0009044673061,0.013002935797,0.0120984688401
0.681818187237,0.159090906382,0.323529422283,0.00049145455705,0.0109635181725,0.0104720639065
0.681818187237,0.159090906382,0.352941185236,0.000267038441962,0.00933115556836,0.00906411744654
0.681818187237,0.159090906382,0.382352948189,0.00014509895118,0.00799318030477,0.00784808117896
0.681818187237,0.159090906382,0.411764711142,7.88415054558e-05,0.00687694968656,0.00679810810834
0.681818187237,0.159090906382,0.441176474094,4.28395978815e-05,0.0059323948808,0.00588955543935
0.681818187237,0.159090906382,0.470588237047,2.3277472792e-05,0.00512618245557,0.00510290497914
0.681818187237,0.159090906382,0.5,1.26481290863e-05,0.00443183304742,0.00441918475553
0.681818187237,0.159090906382,0.529411792755,6.87252531861e-06,0.00383012415841,0.0038232516963
0.681818187237,0.159090906382,0.558823525906,3.73428292733e-06,0.00330584170297,0.00330210733227
0.681818187237,0.159090906382,0.588235259056,2.02907494895e-06,0.00284643890336,0.0028444097843
0.681818187237,0.159090906382,0.617647051811,1.10252415197e-06,0.00244190217927,0.00244079972617
0.681818187237,0.159090906382,0.647058844566,5.99071370289e-07,0.00208400608972,0.00208340701647
0.681818187237,0.159090906382,0.676470577717,3.25513838106e-07,0.00176541926339,0.00176509376615
0.681818187237,0.159090906382,0.705882310867,1.76872333668e-07,0.00148012163118,0.0014799447963
0.681818187237,0.159090906382,0.735294103622,9.61059640758e-08,0.00122324051335,0.0012231443543
0.681818187237,0.159090906382,0.764705896378,5.22204217646e-08,0.000989992637187,0.000989940366708
0.681818187237,0.159090906382,0.794117629528,2.83746715013e-08,0.000776876229793,0.000776847882662
0.681818187237,0.159090906382,0.823529422283,1.54177755007e-08,0.000580553431064,0.000580538006034
0.681818187237,0.159090906382,0.852941155434,8.3774640558e-09,0.000397999305278,0.000397990923375
0.681818187237,0.159090906382,0.882352948189,4.55200366289e-09,0.000227112788707,0.000227108233958
0.681818187237,0.159090906382,0.911764681339,2.47339504433e-09,6.52414746583e-05,6.52390008327e-05
0.681818187237,0.159090906382,0.941176474094,1.34395128359e-09,-8.94176773727e-05,8.94190234249e-05
0.681818187237,0.159090906382,0.970588207245,7.30254745562e-10,-0.000238339882344,0.00023834060994
0.681818187237,0.159090906382,1,3.96793431445e-10,-0.000383417587727,0.000383417995181
0.70454543829,0.159090906382,0,0.383658587933,0.383338034153,0.000320553779602
0.70454543829,0.159090906382,0.0294117648154,0.208466082811,0.224781751633,0.0163156688213
0.70454543829,0.159090906382,0.0588235296309,0.113272868097,0.136047288775,0.0227744206786
0.70454543829,0.159090906382,0.088235296309,0.0615483410656,0.0863040462136,0.024755705148
