x,u0_true,u0_opt,abs_error
1.734375,-0.0245991908014,-0.0175274044768,0.00707178632463
1.75,-0.0230427607894,-0.0144547011803,0.00858805960905
1.765625,-0.0215068459511,-0.011634513974,0.00987233197704
1.78125,-0.0199899505824,-0.00908571284522,0.0109042377372
1.796875,-0.0184906665236,-0.0068217011053,0.0116689654183
1.8125,-0.0170076005161,-0.00485029700127,0.0121573035148
1.828125,-0.0155393481255,-0.00317373877515,0.0123656093503
1.84375,-0.014084585011,-0.00178880221174,0.0122957827993
1.859375,-0.0126419970766,-0.000687017106203,0.0119549799704
1.875,-0.0112103046849,0.000145032303597,0.0113553369885
1.890625,-0.00978821329772,0.000725338172836,0.0105135514706
1.90625,-0.00837448984385,0.00107604573804,0.00945053558189
1.921875,-0.00696791755036,0.00122298909223,0.00819090664258
1.9375,-0.00556725682691,0.00119519746215,0.00676245428906
1.953125,-0.00417131837457,0.0010243813407,0.00519569971527
1.96875,-0.00277891382575,0.000744405720787,0.00352331954654
1.984375,-0.00138887390494,0.000390755694223,0.00177962959917
2,4.94637086845e-09,-2.04865174511e-09,6.99502261356e-09
2.015625,0.00138888391666,-0.000390759656304,0.00177964357297
2.03125,0.00277892383747,-0.000744409279021,0.00352333311649
2.046875,0.00417132815346,-0.00102438423191,0.00519571238538
2.0625,0.00556726614013,-0.00119519943227,0.0067624655724
2.078125,0.00696792826056,-0.00122298989992,0.00819091816048
2.09375,0.00837450008839,-0.00107604515835,0.00945054524674
2.109375,0.00978822354227,-0.000725336000775,0.010513559543
2.125,0.0112103149295,-0.000145028357703,0.0113553432872
2.140625,0.0126420063898,0.000687022980465,0.0119549834093
2.15625,0.0140845961869,0.00178881013874,0.0122957860481
2.171875,0.01553935837,0.00317374884617,0.0123656095238
2.1875,0.0170076098293,0.00485030927186,0.0121573005574
2.203125,0.0184906776994,0.00682171559321,0.0116689621062
2.21875,0.0199899636209,0.00908572952889,0.010904234092
2.234375,0.021506857127,0.0116345327917,0.00987232433522
2.25,0.0230427701026,0.0144547220302,0.00858804807245
2.265625,0.0245992001146,0.0175274272175,0.00707177289708
2.28125,0.0261776298285,0.020828560603,0.00534906922542
2.296875,0.0277795866132,0.0243291983668,0.0034503882464
2.3125,0.0294066052884,0.0279960912679,0.00141051402049
2.328125,0.0310603026301,0.0317922942168,0.000731991586704
2.34375,0.0327422618866,0.035677898316,0.00293563642938
2.359375,0.0344540886581,0.0396108430403,0.00515675438217
2.375,0.0361974313855,0.0435477814007,0.00735035001517
2.390625,0.0379738807678,0.0474449676328,0.00947108686496
2.40625,0.0397850200534,0.0512591355059,0.0114741154525
2.421875,0.0416324138641,0.054948335934,0.0133159220699
2.4375,0.0435175225139,0.058472705142,0.0149551826282
2.453125,0.0454416945577,0.0617951389664,0.0163534444087
2.46875,0.0474061220884,0.064881854553,0.0174757324646
2.484375,0.0494118370116,0.0677028272329,0.0182909902213
2.5,0.0514595210552,0.0702320971557,0.0187725761004
2.515625,0.053549490869,0.0724479468018,0.0188984559328
2.53125,0.0556816421449,0.0743329563064,0.0186513141614
2.546875,0.0578551366925,0.0758739482774,0.0180188115849
2.5625,0.0600684396923,0.0770618372735,0.0169933975812
2.578125,0.0623188912868,0.07789140125,0.0155725099631
2.59375,0.0646025687456,0.078360993161,0.0137584244154
2.609375,0.0669138729572,0.07847221066,0.0115583377027
2.625,0.0692451521754,0.078229540697,0.00898438852155
2.640625,0.0715861022472,0.0776399940068,0.00605389175952
2.65625,0.0739231482148,0.0767127422628,0.00278959404799
2.671875,0.0762387663126,0.0754587682611,0.000779998051525
2.6875,0.0785102918744,0.0738905370754,0.00461975479902
2.703125,0.0807089135051,0.0720216938402,0.0086872196649
2.71875,0.0827982574701,0.069866791761,0.0129314657091
2.734375,0.0847328007221,0.0674410521896,0.0172917485326
2.75,0.0864560455084,0.064760157151,0.0216958883573
2.765625,0.0878986343741,0.0618400735776,0.0260585607966
2.78125,0.0889763087034,0.0586969076598,0.0302794010436
2.796875,0.0895881131291,0.0553467871494,0.0342413259798
2.8125,0.0896152481437,0.0518057690871,0.0378094790566
2.828125,0.0889207869768,0.0480897702565,0.0408310167203
2.84375,0.087351590395,0.0442145176293,0.0431370727657
