iter,J,grad_norm,step
69,3.78584477914e-07,0.000109574130187,1
70,3.67052591504e-07,0.000107820911738,1
71,3.55886611453e-07,0.000106096408236,1
72,3.45074793586e-07,0.000104400134937,1
73,3.34605775715e-07,0.00010273161547,1
74,3.24468565047e-07,0.000101090381703,1
75,3.14652526007e-07,9.94759736036e-05,1
76,3.05147368476e-07,9.78879391035e-05,1
77,2.95943136407e-07,9.6325833968e-05,1
78,2.87030196831e-07,9.47892216624e-05,1
79,2.7839922922e-07,9.3277673222e-05,1
80,2.70041215214e-07,9.17907671237e-05,1
81,2.61947428679e-07,9.03280891589e-05,1
82,2.54109426102e-07,8.88892323086e-05,1
83,2.46519037308e-07,8.74737966191e-05,1
84,2.39168356478e-07,8.60813890808e-05,1
85,2.32049733474e-07,8.47116235079e-05,1
86,2.25155765447e-07,8.33641204197e-05,1
87,2.18479288725e-07,8.20385069238e-05,1
88,2.12013370976e-07,8.07344166017e-05,1
89,2.05751303621e-07,7.9451489395e-05,1
90,1.99686594513e-07,7.81893714938e-05,1
91,1.93812960846e-07,7.69477152275e-05,1
92,1.88124322306e-07,7.57261789559e-05,1
93,1.82614794454e-07,7.45244269636e-05,1
94,1.77278682314e-07,7.33421293547e-05,1
95,1.72110474194e-07,7.21789619502e-05,1
96,1.67104835693e-07,7.10346061865e-05,1
97,1.62256603918e-07,6.99087490157e-05,1
98,1.57560781889e-07,6.88010828079e-05,1
99,1.53012533132e-07,6.77113052547e-05,1
100,1.48607176445e-07,6.66391192745e-05,1
101,1.44340180845e-07,6.55842329192e-05,1
102,1.40207160676e-07,6.4546359283e-05,1
103,1.36203870883e-07,6.35252164124e-05,1
104,1.32326202438e-07,6.25205272175e-05,1
105,1.28570177921e-07,6.15320193856e-05,1
106,1.24931947248e-07,6.05594252955e-05,1
107,1.21407783531e-07,5.9602481934e-05,1
108,1.17994079087e-07,5.86609308133e-05,1
109,1.1468734157e-07,5.77345178901e-05,1
110,1.11484190233e-07,5.68229934863e-05,1
111,1.08381352313e-07,5.5926112211e-05,1
112,1.05375659537e-07,5.50436328835e-05,1
113,1.02464044736e-07,5.41753184585e-05,1
114,9.96435385823e-08,5.33209359521e-05,1
115,9.69112664219e-08,5.24802563688e-05,1
116,9.42644452177e-08,5.16530546309e-05,1
117,9.17003805913e-08,5.0839109508e-05,1
118,8.92164639621e-08,5.00382035486e-05,1
119,8.68101697795e-08,4.92501230126e-05,1
120,8.44790528469e-08,4.84746578052e-05,1
121,8.22207457321e-08,4.77116014116e-05,1
122,8.00329562635e-08,4.69607508337e-05,1
123,7.79134651073e-08,4.6221906527e-05,1
124,7.58601234248e-08,4.54948723393e-05,1
125,7.38708506052e-08,4.47794554505e-05,1
126,7.19436320735e-08,4.40754663132e-05,1
127,7.0076517169e-08,4.33827185945e-05,1
128,6.82676170934e-08,4.27010291195e-05,1
129,6.65151029259e-08,4.20302178142e-05,1
130,6.48172037027e-08,4.13701076516e-05,1
131,6.31722045591e-08,4.07205245974e-05,1
132,6.15784449317e-08,4.00812975566e-05,1
133,6.00343168201e-08,3.94522583222e-05,1
134,5.85382631037e-08,3.88332415237e-05,1
135,5.7088775914e-08,3.82240845773e-05,1
136,5.56843950597e-08,3.76246276367e-05,1
137,5.43237065026e-08,3.70347135447e-05,1
138,5.30053408831e-08,3.64541877862e-05,1
139,5.17279720932e-08,3.58828984414e-05,1
