x,t,u_true,u_pinn,abs_error,u_rollout
0.148514852,0.01010101,0.096710637,0.095325753,0.001384884,0.0951526141965
0.158415839,0.01010101,0.103149675,0.1019997,0.001149975,0.101673601803
0.168316826,0.01010101,0.109585777,0.108677559,0.000908218,0.108193299801
0.178217813,0.01010101,0.116018333,0.115348622,0.00066971,0.114708677022
0.188118815,0.01010101,0.122446671,0.122002363,0.000444308,0.121215703846
0.198019803,0.01010101,0.128869981,0.128628373,0.000241607,0.127709610036
0.20792079,0.01010101,0.135287374,0.135217473,6.99013e-05,0.134185584197
0.217821777,0.01010101,0.141697854,0.141761899,6.40452e-05,0.140639601601
0.227722764,0.01010101,0.148100302,0.148256481,0.000156179,0.147069213791
0.237623751,0.01010101,0.154493496,0.154699415,0.000205919,0.153473914482
0.247524753,0.01010101,0.160876021,0.161092728,0.000216708,0.159854956784
0.257425725,0.01010101,0.167246372,0.167441815,0.000195444,0.16621468805
0.267326742,0.01010101,0.173602894,0.173754215,0.000151321,0.172555896611
0.27722773,0.01010101,0.179943696,0.18003723,9.35346e-05,0.178880938634
0.287128717,0.01010101,0.186266765,0.186297059,3.02941e-05,0.185191362514
0.297029704,0.01010101,0.192569852,0.192537338,3.25143e-05,0.191487463494
0.306930691,0.01010101,0.198850527,0.198759884,9.06438e-05,0.197768099562
0.316831678,0.01010101,0.205106124,0.204964191,0.000141934,0.204030653552
0.326732665,0.01010101,0.211333796,0.21114856,0.000185236,0.21027116683
0.336633652,0.01010101,0.21753028,0.21731028,0.000220001,0.216484660515
0.34653464,0.01010101,0.223692253,0.223445654,0.000246599,0.222665659517
0.356435627,0.01010101,0.229815945,0.22955063,0.000265315,0.228808883288
0.366336614,0.01010101,0.235897347,0.235620558,0.000276789,0.234909872905
0.376237631,0.01010101,0.241932079,0.241650492,0.000281587,0.24096495099
0.386138618,0.01010101,0.247915417,0.247635216,0.000280201,0.246969939293
0.396039605,0.01010101,0.253842264,0.253569186,0.000273079,0.252918831079
0.405940592,0.01010101,0.259707123,0.259445697,0.000261426,0.258803915414
0.415841579,0.01010101,0.265504092,0.265257806,0.000246286,0.264617509157
0.425742567,0.01010101,0.271226853,0.270997018,0.000229836,0.270352907984
0.435643554,0.01010101,0.276868492,0.276654303,0.000214189,0.276003558097
0.445544541,0.01010101,0.282421708,0.28221941,0.000202298,0.28156166593
0.455445528,0.01010101,0.287878543,0.287681967,0.000196576,0.2870175857
0.465346515,0.01010101,0.293230683,0.293031543,0.000199139,0.292360300292
0.475247502,0.01010101,0.298468947,0.298258036,0.000210911,0.297578568686
0.485148519,0.01010101,0.303583831,0.303352237,0.000231594,0.30266214011
0.495049506,0.01010101,0.308564931,0.308305234,0.000259697,0.307602496498
0.504950523,0.01010101,0.313401312,0.313107908,0.000293404,0.312393147943
0.514851451,0.01010101,0.31808117,0.317750931,0.00033024,0.317028691658
0.524752498,0.01010101,0.322592199,0.322223812,0.000368387,0.321502687688
0.534653485,0.01010101,0.326921105,0.326513886,0.000407219,0.32580386171
0.544554472,0.01010101,0.331053853,0.330607146,0.000446707,0.329914483321
0.554455459,0.01010101,0.33497566,0.334487796,0.000487864,0.33381242615
0.564356446,0.01010101,0.33867085,0.338137984,0.000532866,0.337476196478
0.574257433,0.01010101,0.342122823,0.341539264,0.000583559,0.340888459579
0.584158421,0.01010101,0.345314234,0.344672263,0.000641972,0.344033795762
0.594059408,0.01010101,0.348226786,0.347516537,0.000710249,0.346892834794
0.603960395,0.01010101,0.350841284,0.350051999,0.000789285,0.349443208455
0.613861382,0.01010101,0.353137702,0.352258474,0.000879228,0.35166517077
0.623762369,0.01010101,0.355095088,0.354115665,0.000979424,0.353539955876
0.633663416,0.01010101,0.356691808,0.355603874,0.001087934,0.355046323799
0.643564343,0.01010101,0.357905209,0.356703788,0.001201421,0.356161776787
0.65346539,0.01010101,0.358712107,0.357396185,0.001315922,0.356864385037
0.663366318,0.01010101,0.35908851,0.357661873,0.001426637,0.357132593723
0.673267365,0.01010101,0.359009862,0.35748148,0.001528382,0.356944891861
0.683168292,0.01010101,0.358451247,0.356834471,0.001616776,0.356279871799
0.693069339,0.01010101,0.357387245,0.355698705,0.00168854,0.355115777059
0.702970266,0.01010101,0.355792224,0.354049981,0.001742244,0.353429417186
0.712871313,0.01010101,0.353640586,0.35186094,0.001779646,0.35119580293
0.722772241,0.01010101,0.350906879,0.349101841,0.001805037,0.348389412405
0.732673287,0.01010101,0.347565919,0.345740616,0.001825303,0.344982923887
0.742574275,0.01010101,0.343593389,0.341745883,0.001847506,0.340945783498
0.752475262,0.01010101,0.338965565,0.337087333,0.001878232,0.336249107745
0.762376249,0.01010101,0.333660096,0.331737757,0.001922339,0.330868652656
0.772277236,0.01010101,0.327656239,0.325673103,0.001983136,0.324781394293
0.782178223,0.01010101,0.320935041,0.318871409,0.002063632,0.317967884481
0.79207921,0.01010101,0.313479692,0.311312616,0.002167076,0.310412659613
0.801980197,0.01010101,0.305276066,0.302979797,0.002296269,0.302102578518
0.811881185,0.01010101,0.296313256,0.293860644,0.002452612,0.293027513984
0.821782172,0.01010101,0.286583632,0.283949852,0.00263378,0.283182301425
0.831683159,0.01010101,0.27608332,0.27325052,0.0028328,0.27256808015
0.841584146,0.01010101,0.264812708,0.261773616,0.003039092,0.261192398782
0.851485133,0.01010101,0.252776921,0.249537557,0.003239363,0.249068268276
0.86138612,0.01010101,0.239985794,0.236565918,0.003419876,0.236212848534
0.871287107,0.01010101,0.226454273,0.222887099,0.003567174,0.222646476373
0.881188154,0.01010101,0.2122031,0.208532959,0.003670141,0.20839232305
0.891089082,0.01010101,0.197258458,0.193539023,0.003719434,0.193477358009
0.900990129,0.01010101,0.181651831,0.177944452,0.003707379,0.177932462223
0.910891116,0.01010101,0.165421039,0.161794305,0.003626734,0.161795005228
0.920792103,0.01010101,0.148609012,0.145138741,0.003470272,0.145108847776
0.93069309,0.01010101,0.131264612,0.12803483,0.003229782,0.127925474568
0.940594077,0.01010101,0.113441497,0.110546105,0.002895392,0.110304727824
0.950495064,0.01010101,0.095198132,0.092742331,0.002455801,0.0923160141294
0.960396051,0.01010101,0.076597698,0.074699298,0.0018984,0.0740392937901
0.970297039,0.01010101,0.057706758,0.056497712,0.001209047,0.0555652040517
0.980198026,0.01010101,0.038595095,0.038222678,0.000372417,0.0369941616231
