x,t,u
25,5.46,1.03392744762
26.5625,5.46,-1.030898923
28.125,5.46,-1.09835404152
29.6875,5.46,0.104156668126
31.25,5.46,1.1208067987
32.8125,5.46,2.35472341577
34.375,5.46,0.0380003596921
35.9375,5.46,-1.97821760282
37.5,5.46,-0.309350258638
39.0625,5.46,0.545035363573
40.625,5.46,2.02205765458
42.1875,5.46,0.874845208628
43.75,5.46,-1.51415204848
45.3125,5.46,-1.11242058749
46.875,5.46,-0.117857008708
48.4375,5.46,0.103584035972
0,5.47,0.491227553903
1.5625,5.47,1.79872763862
3.125,5.47,1.48627676655
4.6875,5.47,-0.83126888086
6.25,5.47,-1.10245011174
7.8125,5.47,-0.206191025934
9.375,5.47,0.255555587204
10.9375,5.47,0.911375234719
12.5,5.47,1.84857234545
14.0625,5.47,0.537216265423
15.625,5.47,-1.14199938917
17.1875,5.47,-0.376592664199
18.75,5.47,0.241826044492
20.3125,5.47,0.510282506461
21.875,5.47,0.735897292602
23.4375,5.47,1.78831345469
25,5.47,1.03701581344
26.5625,5.47,-1.03135470958
28.125,5.47,-1.10184586356
29.6875,5.47,0.102506268834
31.25,5.47,1.1176582287
32.8125,5.47,2.35543823054
34.375,5.47,0.0416765885963
35.9375,5.47,-1.97867796279
37.5,5.47,-0.31096199146
39.0625,5.47,0.543881995936
40.625,5.47,2.02301089017
42.1875,5.47,0.877238653793
43.75,5.47,-1.51357786098
45.3125,5.47,-1.11293234508
46.875,5.47,-0.116926435912
48.4375,5.47,0.102494886408
0,5.48,0.488921316994
1.5625,5.48,1.79569332471
3.125,5.48,1.49208814044
4.6875,5.48,-0.826348814627
6.25,5.48,-1.10610095447
7.8125,5.48,-0.207019612124
9.375,5.48,0.254596436638
10.9375,5.48,0.90885872651
12.5,5.48,1.84890842933
14.0625,5.48,0.542611321631
15.625,5.48,-1.14101860338
17.1875,5.48,-0.379019398589
18.75,5.48,0.240984856949
20.3125,5.48,0.50951803484
21.875,5.48,0.733951678034
23.4375,5.48,1.78817227717
25,5.48,1.04009831566
26.5625,5.48,-1.03180765382
28.125,5.48,-1.1053309079
29.6875,5.48,0.100857791617
31.25,5.48,1.11451883996
32.8125,5.48,2.35613969221
34.375,5.48,0.0453489292667
35.9375,5.48,-1.97912235208
37.5,5.48,-0.312583045972
39.0625,5.48,0.542723019288
40.625,5.48,2.02395634685
42.1875,5.48,0.879642119792
43.75,5.48,-1.51299312909
45.3125,5.48,-1.11344877187
46.875,5.48,-0.115995663661
48.4375,5.48,0.101409489883
0,5.49,0.486622177319
1.5625,5.49,1.79263309628
3.125,5.49,1.49788651064
4.6875,5.49,-0.821406490675
6.25,5.49,-1.10975280115
7.8125,5.49,-0.207849756683
9.375,5.49,0.253636994175
10.9375,5.49,0.906349289977
12.5,5.49,1.84922452984
14.0625,5.49,0.548006200306
15.625,5.49,-1.140015714
17.1875,5.49,-0.381453584291
18.75,5.49,0.240140643131
20.3125,5.49,0.508751133857
21.875,5.49,0.732011578167
23.4375,5.49,1.78802555909
25,5.49,1.04317496564
26.5625,5.49,-1.0322577819
28.125,5.49,-1.10880921232
29.6875,5.49,0.0992112349366
31.25,5.49,1.11138865421
32.8125,5.49,2.35682789604
34.375,5.49,0.0490173973009
35.9375,5.49,-1.97955085303
37.5,5.49,-0.314213451548
39.0625,5.49,0.541558445115
40.625,5.49,2.02489397957
42.1875,5.49,0.882055617115
43.75,5.49,-1.51239781428
45.3125,5.49,-1.11396990214
46.875,5.49,-0.115064724596
48.4375,5.49,0.100327925421
0,5.5,0.484330145234
1.5625,5.5,1.78954703832
3.125,5.5,1.50367168882
4.6875,5.5,-0.816442031124
6.25,5.5,-1.1134054344
7.8125,5.5,-0.208681503327
9.375,5.5,0.252677259984
10.9375,5.5,0.903846991169
12.5,5.5,1.84952065867
14.0625,5.5,0.553400835292
15.625,5.5,-1.13899069372
17.1875,5.5,-0.383895202533
18.75,5.5,0.239293386746
20.3125,5.5,0.507981787869
21.875,5.5,0.730076969548
23.4375,5.5,1.78787330498
25,5.5,1.04624577451
26.5625,5.5,-1.03270511987
28.125,5.5,-1.11228081448
29.6875,5.5,0.0975665979921
31.25,5.5,1.10826769246
32.8125,5.5,2.35750293747
34.375,5.5,0.0526820087341
35.9375,5.5,-1.97996354832
37.5,5.5,-0.315853237012
39.0625,5.5,0.540388285501
40.625,5.5,2.02582374322
42.1875,5.5,0.884479156091
43.75,5.5,-1.51179187801
45.3125,5.5,-1.11449577014
46.875,5.5,-0.114133651207
48.4375,5.5,0.0992502722667
0,5.51,0.482045229866
1.5625,5.51,1.78643523733
3.125,5.51,1.50944348663
4.6875,5.51,-0.811455559334
6.25,5.51,-1.11705863554
7.8125,5.51,-0.209514896264
9.375,5.51,0.251717234644
10.9375,5.51,0.901351895285
12.5,5.51,1.84979682819
14.0625,5.51,0.558795160582
15.625,5.51,-1.13794351613
17.1875,5.51,-0.386344234113
18.75,5.51,0.238443071664
20.3125,5.51,0.507209981494
21.875,5.51,0.728147828969
23.4375,5.51,1.78771551921
25,5.51,1.04931075325
26.5625,5.51,-1.03314969361
28.125,5.51,-1.11574575186
29.6875,5.51,0.0959238807191
31.25,5.51,1.10515597499
32.8125,5.51,2.35816491217
34.375,5.51,0.0563427800378
35.9375,5.51,-1.98036052093
37.5,5.51,-0.317502430631
39.0625,5.51,0.539212553132
40.625,5.51,2.02674559265
42.1875,5.51,0.88691274688
43.75,5.51,-1.51117528177
45.3125,5.51,-1.11502641006
46.875,5.51,-0.113202475828
48.4375,5.51,0.0981766098756
0,5.52,0.479767439112
1.5625,5.52,1.78329778134
3.125,5.52,1.51520171572
4.6875,5.52,-0.806447199894
6.25,5.52,-1.1207121846
7.8125,5.52,-0.210349980201
9.375,5.52,0.250756919138
10.9375,5.52,0.898864066676
12.5,5.52,1.85005305149
14.0625,5.52,0.564189110319
15.625,5.52,-1.13687415566
17.1875,5.52,-0.38880065939
18.75,5.52,0.237589681925
20.3125,5.52,0.506435699612
21.875,5.52,0.726224133466
23.4375,5.52,1.78755220597
25,5.52,1.05236991263
26.5625,5.52,-1.03359152886
28.125,5.52,-1.1192040618
29.6875,5.52,0.0942830837879
31.25,5.52,1.10205352137
32.8125,5.52,2.35881391602
34.375,5.52,0.059999728118
35.9375,5.52,-1.98074185417
37.5,5.52,-0.319161060119
39.0625,5.52,0.538031261303
40.625,5.52,2.02765948262
42.1875,5.52,0.889356399475
43.75,5.52,-1.51054798703
45.3125,5.52,-1.11556185606
46.875,5.52,-0.11227123063
48.4375,5.52,0.0971070179032
0,5.53,0.477496779639
1.5625,5.53,1.78013475992
3.125,5.53,1.52094618778
4.6875,5.53,-0.8014170786
6.25,5.53,-1.12436586032
7.8125,5.53,-0.211186800342
9.375,5.53,0.249796314855
10.9375,5.53,0.896383568839
12.5,5.53,1.85028934236
14.0625,5.53,0.56958261879
15.625,5.53,-1.13578258762
17.1875,5.53,-0.391264458285
18.75,5.53,0.236733201729
20.3125,5.53,0.505658927362
21.875,5.53,0.724305860328
23.4375,5.53,1.78738336934
25,5.53,1.05542326323
26.5625,5.53,-1.0340306512
28.125,5.53,-1.12265578143
29.6875,5.53,0.0926442086016
31.25,5.53,1.09896035046
32.8125,5.53,2.35945004506
34.375,5.53,0.0636528703141
35.9375,5.53,-1.98110763166
37.5,5.53,-0.320829152631
39.0625,5.53,0.536844423918
40.625,5.53,2.02856536786
42.1875,5.53,0.891810123698
43.75,5.53,-1.50990995528
45.3125,5.53,-1.11610214225
46.875,5.53,-0.111339947621
48.4375,5.53,0.096041576195
0,5.54,0.475233256886
1.5625,5.54,1.77694626412
3.125,5.54,1.5266767145
4.6875,5.54,-0.796365322443
6.25,5.54,-1.1280194402
7.8125,5.54,-0.21202540239
9.375,5.54,0.248835423583
10.9375,5.54,0.893910464412
12.5,5.54,1.85050571529
14.0625,5.54,0.574975620427
15.625,5.54,-1.13466878818
17.1875,5.54,-0.39373561027
18.75,5.54,0.235873615442
20.3125,5.54,0.504879650144
21.875,5.54,0.722392987096
23.4375,5.54,1.78720901323
25,5.54,1.05847081543
26.5625,5.54,-1.03446708606
28.125,5.54,-1.12610094768
29.6875,5.54,0.0910072572934
31.25,5.54,1.09587648043
32.8125,5.54,2.36007339555
34.375,5.54,0.067302224397
35.9375,5.54,-1.98145793728
37.5,5.54,-0.322506734769
39.0625,5.54,0.535652055495
40.625,5.54,2.02946320305
42.1875,5.54,0.894273929192
43.75,5.54,-1.50926114802
45.3125,5.54,-1.11664730269
46.875,5.54,-0.110408658633
48.4375,5.54,0.0949803647766
0,5.55,0.472976875063
1.5625,5.55,1.77373238653
3.125,5.55,1.53239310765
4.6875,5.55,-0.791292059589
6.25,5.55,-1.1316727005
7.8125,5.55,-0.21286583255
9.375,5.55,0.247874247508
10.9375,5.55,0.891444815174
12.5,5.55,1.85070218547
14.0625,5.55,0.580368049801
15.625,5.55,-1.13353273437
17.1875,5.55,-0.396214094366
18.75,5.55,0.235010907595
20.3125,5.55,0.504097853614
21.875,5.55,0.720485491573
23.4375,5.55,1.78702914144
25,5.55,1.06151257938
26.5625,5.55,-1.03490085872
28.125,5.55,-1.12953959725
29.6875,5.55,0.0893722327242
31.25,5.55,1.09280192873
32.8125,5.55,2.36068406389
34.375,5.55,0.0709478085679
35.9375,5.55,-1.9817928552
37.5,5.55,-0.324193832574
39.0625,5.55,0.534454171169
40.625,5.55,2.03035294281
42.1875,5.55,0.896747825427
43.75,5.55,-1.50860152674
45.3125,5.55,-1.11719737136
46.875,5.55,-0.109477395325
48.4375,5.55,0.0939234638423
0,5.56,0.470727637153
1.5625,5.56,1.77049322126
3.125,5.56,1.53809517903
4.6875,5.56,-0.786197419363
6.25,5.56,-1.13532541629
7.8125,5.56,-0.213708137531
9.375,5.56,0.246912789212
10.9375,5.56,0.888986682041
12.5,5.56,1.8508787688
14.0625,5.56,0.585759841624
15.625,5.56,-1.1323744041
17.1875,5.56,-0.398699889139
18.75,5.56,0.234145062881
20.3125,5.56,0.503313523688
21.875,5.56,0.718583351822
23.4375,5.56,1.78684375764
25,5.56,1.06454856503
26.5625,5.56,-1.0353319943
28.125,5.56,-1.1329717666
29.6875,5.56,0.0877391384795
31.25,5.56,1.08973671214
32.8125,5.56,2.36128214666
34.375,5.56,0.0745896414569
35.9375,5.56,-1.98211246985
37.5,5.56,-0.325890471527
39.0625,5.56,0.533250786696
40.625,5.56,2.0312345417
42.1875,5.56,0.899231821689
43.75,5.56,-1.50793105296
45.3125,5.56,-1.1177523822
46.875,5.56,-0.108546189172
48.4375,5.56,0.0928709537456
0,5.57,0.468485544913
1.5625,5.57,1.76722886392
3.125,5.57,1.54378274057
4.6875,5.57,-0.781081532232
6.25,5.57,-1.13897736145
7.8125,5.57,-0.214552364545
9.375,5.57,0.245951051669
10.9375,5.57,0.88653612506
12.5,5.57,1.85103548186
14.0625,5.57,0.591150930743
15.625,5.57,-1.13119377613
17.1875,5.57,-0.401192972693
18.75,5.57,0.233276066157
20.3125,5.57,0.502526646538
21.875,5.57,0.716686546174
23.4375,5.57,1.7866528654
25,5.57,1.06757878209
26.5625,5.57,-1.03576051777
28.125,5.57,-1.13639749195
29.6875,5.57,0.0861079788663
31.25,5.57,1.08668084674
32.8125,5.57,2.36186774058
34.375,5.57,0.0782277421215
35.9375,5.57,-1.98241686588
37.5,5.57,-0.327596676552
39.0625,5.57,0.532041918458
40.625,5.57,2.03210795425
42.1875,5.57,0.901725927082
43.75,5.57,-1.50724968822
45.3125,5.57,-1.1183123691
46.875,5.57,-0.107615071461
48.4375,5.57,0.0918229149876
0,5.58,0.466250598875
1.5625,5.58,1.76393941162
3.125,5.58,1.54945560427
4.6875,5.58,-0.775944529788
6.25,5.58,-1.14262830871
7.8125,5.58,-0.215398561308
9.375,5.58,0.244989038241
10.9375,5.58,0.884093203413
12.5,5.58,1.85117234194
14.0625,5.58,0.59654125214
15.625,5.58,-1.12999083011
17.1875,5.58,-0.403693322667
18.75,5.58,0.232403902443
20.3125,5.58,0.501737208594
21.875,5.58,0.714795053229
23.4375,5.58,1.78645646817
25,5.58,1.07060324004
26.5625,5.58,-1.03618645395
28.125,5.58,-1.13981680922
29.6875,5.58,0.0844787589093
31.25,5.58,1.08363434794
32.8125,5.58,2.36244094251
34.375,5.58,0.0818621300451
35.9375,5.58,-1.98270612822
37.5,5.58,-0.329312472012
39.0625,5.58,0.530827583459
40.625,5.58,2.03297313495
42.1875,5.58,0.904230150522
43.75,5.58,-1.50655739405
45.3125,5.58,-1.11887736583
46.875,5.58,-0.106684073291
48.4375,5.58,0.0907794282069
0,5.59,0.464022798352
1.5625,5.59,1.76062496299
