x,t,f
37.5,0.13,-0.0866011977196
39.0625,0.13,-0.105087123811
40.625,0.13,-0.12334959209
42.1875,0.13,-0.141289234161
43.75,0.13,-0.158824667335
45.3125,0.13,-0.175893560052
46.875,0.13,-0.192449480295
48.4375,0.13,-0.208461984992
0,0.14,0.180517047644
1.5625,0.14,0.178011506796
3.125,0.14,0.174974828959
4.6875,0.14,0.171370759606
6.25,0.14,0.167159706354
7.8125,0.14,0.162298813462
9.375,0.14,0.156742751598
10.9375,0.14,0.150443166494
12.5,0.14,0.143350735307
14.0625,0.14,0.135416120291
15.625,0.14,0.126592203975
17.1875,0.14,0.116836570203
18.75,0.14,0.10611525923
20.3125,0.14,0.0944058448076
21.875,0.14,0.0817011147738
23.4375,0.14,0.0680130720139
25,0.14,0.0533747710288
26.5625,0.14,0.0378425009549
28.125,0.14,0.0214973855764
29.6875,0.14,0.0044414405711
31.25,0.14,-0.0132038667798
32.8125,0.14,-0.0313023477793
34.375,0.14,-0.0497103445232
35.9375,0.14,-0.0682815238833
37.5,0.14,-0.0868749469519
39.0625,0.14,-0.105359010398
40.625,0.14,-0.123616941273
42.1875,0.14,-0.141549363732
43.75,0.14,-0.159075468779
45.3125,0.14,-0.176132425666
46.875,0.14,-0.192674875259
48.4375,0.14,-0.208672061563
0,0.15,0.180528476834
1.5625,0.15,0.178014039993
3.125,0.15,0.17496779561
4.6875,0.15,0.171353772283
6.25,0.15,0.16713245213
7.8125,0.15,0.162260606885
9.375,0.15,0.156692922115
10.9375,0.15,0.150381162763
12.5,0.15,0.143275663257
14.0625,0.15,0.13532756269
15.625,0.15,0.126489073038
17.1875,0.15,0.116718500853
18.75,0.15,0.105981491506
20.3125,0.15,0.0942559614778
21.875,0.15,0.0815349519253
23.4375,0.15,0.0678302571177
25,0.15,0.0531757697463
26.5625,0.15,0.0376282036304
28.125,0.15,0.0212684441358
29.6875,0.15,0.00419969204813
31.25,0.15,-0.0134567394853
32.8125,0.15,-0.0315643996
34.375,0.15,-0.0499787330627
35.9375,0.15,-0.0685537829995
37.5,0.15,-0.0871480628848
39.0625,0.15,-0.105630293489
40.625,0.15,-0.123883709311
42.1875,0.15,-0.141808927059
43.75,0.15,-0.159325480461
45.3125,0.15,-0.176370546222
46.875,0.15,-0.192899316549
48.4375,0.15,-0.208881288767
0,0.16,0.180540367961
1.5625,0.16,0.178016409278
3.125,0.16,0.174960941076
4.6875,0.16,0.171336844563
6.25,0.16,0.167105227709
7.8125,0.16,0.162222445011
9.375,0.16,0.156643241644
10.9375,0.16,0.150319039822
12.5,0.16,0.14320077002
14.0625,0.16,0.135238900781
15.625,0.16,0.126386165619
17.1875,0.16,0.116600312293
18.75,0.16,0.10584782064
20.3125,0.16,0.0941063165665
21.875,0.16,0.0813688114285
23.4375,0.16,0.0676476880908
25,0.16,0.0529768690467
26.5625,0.16,0.0374140664935
28.125,0.16,0.0210398137569
29.6875,0.16,0.00395806552842
31.25,0.16,-0.0137095712125
32.8125,0.16,-0.0318261384964
34.375,0.16,-0.0502468161285
35.9375,0.16,-0.0688256323338
37.5,0.16,-0.087420783937
39.0625,0.16,-0.105901025236
40.625,0.16,-0.124149948359
42.1875,0.16,-0.142068043351
43.75,0.16,-0.159574657679
45.3125,0.16,-0.176608011127
46.875,0.16,-0.193123042583
48.4375,0.16,-0.209089785814
0,0.17,0.180552005768
1.5625,0.17,0.178019300103
3.125,0.17,0.174954161048
4.6875,0.17,0.17132049799
6.25,0.17,0.1670781672
7.8125,0.17,0.162184476852
9.375,0.17,0.156593650579
10.9375,0.17,0.150257259607
12.5,0.17,0.143126145005
14.0625,0.17,0.135150328279
15.625,0.17,0.126283094287
17.1875,0.17,0.116482570767
18.75,0.17,0.105714306235
20.3125,0.17,0.0939564630389
21.875,0.17,0.0812026485801
23.4375,0.17,0.0674652457237
25,0.17,0.0527784265578
26.5625,0.17,0.0371999740601
28.125,0.17,0.0208114758134
29.6875,0.17,0.00371646950953
31.25,0.17,-0.0139621160924
32.8125,0.17,-0.0320874787867
34.375,0.17,-0.0505146756768
35.9375,0.17,-0.0690971240401
37.5,0.17,-0.087693169713
39.0625,0.17,-0.106171451509
40.625,0.17,-0.124415583909
42.1875,0.17,-0.14232622087
43.75,0.17,-0.159823209047
45.3125,0.17,-0.17684468627
46.875,0.17,-0.193345889449
48.4375,0.17,-0.209297209978
0,0.18,0.180563762784
1.5625,0.18,0.178022369742
3.125,0.18,0.174947857857
4.6875,0.18,0.171303883195
