x,t,u_pinn,u_rollout,abs_error
4.6875,3.76,-0.287043690681,-0.587055291593,0.300011600911
6.25,3.76,-0.271458625793,-0.808893940252,0.537435314458
7.8125,3.76,-0.254795014858,0.233256721108,0.488051735966
9.375,3.76,-0.237033843994,0.867796378905,1.1048302229
10.9375,3.76,-0.218174889684,1.52619987279,1.74437476247
12.5,3.76,-0.198238566518,2.51872139915,2.71695996567
14.0625,3.76,-0.177271202207,0.733844397176,0.911115599383
15.625,3.76,-0.15534503758,-1.19060775333,1.03526271575
17.1875,3.76,-0.132559582591,-0.117068946126,0.0154906364649
18.75,3.76,-0.109037689865,0.641061318674,0.750099008538
20.3125,3.76,-0.084921464324,0.875922847118,0.960844311442
21.875,3.76,-0.0603648647666,1.09313363952,1.15349850428
23.4375,3.76,-0.0355263464153,2.21974816485,2.25527451127
25,3.76,-0.0105615742505,2.46133920665,2.4719007809
26.5625,3.76,0.0143816517666,0.083655397458,0.0692737456914
28.125,3.76,0.0391659885645,-1.10491089574,1.1440768843
29.6875,3.76,0.0636643916368,0.237203490881,0.173539099244
31.25,3.76,0.0877589583397,1.8709458777,1.78318691936
32.8125,3.76,0.111339427531,2.24709717836,2.13575775083
34.375,3.76,0.13430249691,-1.06768957869,1.2019920756
35.9375,3.76,0.156553387642,-2.10348576375,2.26003915139
37.5,3.76,0.178007155657,-0.168140912885,0.346148068542
39.0625,3.76,0.198592066765,1.10754602093,0.908953954167
40.625,3.76,0.218251124024,1.27409747287,1.05584634885
42.1875,3.76,0.236944079399,-1.6402578107,1.8772018901
43.75,3.76,0.254647672176,-2.48124696566,2.73589463784
45.3125,3.76,0.27135398984,-1.00949576983,1.28084975967
46.875,3.76,0.2870695889,-0.658004734375,0.945074323275
48.4375,3.76,0.301813691854,-0.261358724794,0.563172416648
0,3.77,-0.327685773373,0.583130607979,0.910816381352
1.5625,3.77,-0.315098077059,2.16624002877,2.48133810582
3.125,3.77,-0.301556885242,1.9119516151,2.21350850034
4.6875,3.77,-0.287012547255,-0.576664119402,0.289651572147
6.25,3.77,-0.271421760321,-0.813276321333,0.541854561012
7.8125,3.77,-0.25475230813,0.231910141445,0.486662449576
9.375,3.77,-0.236985206604,0.867510363391,1.10449556999
10.9375,3.77,-0.218119502068,1.52149493051,1.73961443258
12.5,3.77,-0.198176547885,2.52250403339,2.72068058128
14.0625,3.77,-0.177201986313,0.74636580732,0.923567793633
15.625,3.77,-0.155268698931,-1.18956487266,1.03429617373
17.1875,3.77,-0.132475793362,-0.12060307967,0.0118727136915
18.75,3.77,-0.10894613713,0.641757439914,0.750703577044
20.3125,3.77,-0.0848218202591,0.875016976684,0.959838796943
21.875,3.77,-0.0602569654584,1.08912197995,1.14937894541
23.4375,3.77,-0.0354099832475,2.21132276048,2.24673274373
25,3.77,-0.0104364613071,2.47130733819,2.4817437995
26.5625,3.77,0.0145156811923,0.0964424143766,0.0819267331843
28.125,3.77,0.0393089018762,-1.11436942181,1.15367832368
29.6875,3.77,0.0638159513474,0.233075609238,0.169259657891
31.25,3.77,0.0879186913371,1.86586560896,1.77794691763
32.8125,3.77,0.111506558955,2.25113726706,2.13963070811
34.375,3.77,0.134475961328,-1.06625119233,1.20072715366
35.9375,3.77,0.156731814146,-2.10828003739,2.26501185153
37.5,3.77,0.178189098835,-0.167727702291,0.345916801126
39.0625,3.77,0.198775887489,1.11332340562,0.91454751813
40.625,3.77,0.218435481191,1.26798154063,1.04954605944
42.1875,3.77,0.237127408385,-1.65205974242,1.8891871508
43.75,3.77,0.254828691483,-2.47943717374,2.73426586523
45.3125,3.77,0.271531641483,-1.00713967024,1.27867131172
46.875,3.77,0.287243187428,-0.656701428635,0.943944616063
48.4375,3.77,0.30198225379,-0.265327615896,0.567309869686
0,3.78,-0.327668875456,0.580690907782,0.908359783238
1.5625,3.78,-0.315076589584,2.16221492321,2.47729151279
3.125,3.78,-0.301530480385,1.923597181,2.22512766139
4.6875,3.78,-0.286980777979,-0.566174529308,0.279193751329
6.25,3.78,-0.271384686232,-0.817666583151,0.546281896919
7.8125,3.78,-0.254709303379,0.230553442958,0.485262746337
9.375,3.78,-0.23693588376,0.867219986897,1.10415587066
10.9375,3.78,-0.218063756824,1.51678994593,1.73485370275
12.5,3.78,-0.198113977909,2.52621049826,2.72432447617
14.0625,3.78,-0.177132427692,0.758920451088,0.93605287878
15.625,3.78,-0.155191898346,-1.18843893381,1.03324703547
17.1875,3.78,-0.132391408086,-0.124177085511,0.00821432257481
18.75,3.78,-0.108853980899,0.64245037218,0.751304353079
20.3125,3.78,-0.084721878171,0.874132629426,0.958854507597
21.875,3.78,-0.0601488724351,1.08515587687,1.1453047493
